SUBJECT, LOG, ENEMIES_DOWN, BULLETS_FIRED, X, Y, Z, BULLET_HITS, HEALTH
35 , 4/13/2017 1:45:31 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:32 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:32 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:33 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:34 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:34 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:35 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:35 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:36 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:36 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:37 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:37 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:38 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:38 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:39 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:39 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:10 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:11 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:12 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:12 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:13 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:13 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:14 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100
